f1,f2,f3,f4,x_1,x_2
4.8680206082616255,2.865113594263545,7.47532364997744,-0.046582989526270824,0.35155092874961463,0.3691589626444518
5.429047772556466,3.0121212505545456,7.239469883790952,-0.9134579893814017,0.5986994592759761,0.759985908898078
6.162249673279111,2.883905525474574,5.257530810997739,-0.004493005020762553,0.9216958913123834,0.307666070934047
5.550773955100253,2.930652754064029,7.141486099242005,-0.3398072160009842,0.6523233282379968,0.5928144185652453
5.0706255119387595,3.2576464506896334,7.417316505125923,-4.196076662511933,0.4408041902813916,0.9506902349028634
5.2217980962178565,2.979365583567797,7.357193446589569,-0.69603969138247,0.5074000423867208,0.7143554782902455
4.934845610279147,3.0724371897422005,7.45855573504634,-1.5159140425008544,0.3809892556295801,0.8380121758020218
5.960568049591863,2.886564901853652,6.418707938029664,-0.04924213456707771,0.8328493610536842,0.37254690944021013
6.002948329950538,3.3083475665798425,6.264342715625002,-4.943897851802676,0.8515190880839374,0.9630137904927119
6.2280033144217395,3.067181134069152,4.397740990567229,-1.1915971591506342,0.9506622530492241,0.8023838380758781
5.107109078229712,2.9469908598533334,7.404339127976423,-0.48940528095174285,0.4568762459161726,0.6539567071053685
5.400124089961468,3.192210378131459,7.259090395630964,-2.8998574099556067,0.585957748881704,0.9172165225245137
5.595808803773383,2.9647597373454326,7.097491926559978,-0.549084593038826,0.6721624686226355,0.6736859499774197
4.7614966885400225,2.856039716790215,7.4980093900625135,-0.011128708666641285,0.3046240918678514,0.3185271746500634
5.118489548019783,2.8732273517215177,7.40010600083695,-0.06714857170941091,0.4618896687311817,0.39417479282667706
6.265722184339461,3.1257607615436336,3.6107296490138916,-1.7396464952787722,0.9672784953037272,0.8569701781781198
5.673282787827789,3.1163352002824425,7.008954535329797,-1.8396772735569225,0.7062919770166471,0.8643513955932056
6.251579941281047,2.9203015042394673,3.942811771417042,-0.16598228769755274,0.9610484322823993,0.48724849930784353
4.904568290171429,3.217647467764477,7.466414140496262,-3.458408514295553,0.36765122915040943,0.9341986927902937
6.070653130504682,2.8990987340964556,5.943302303594679,-0.09460083583787204,0.8813449914117539,0.4239138806979136
4.767776882002899,2.904412889441972,7.496798409137243,-0.2625255945471261,0.3073906969175763,0.552032939923409
4.845042857659687,2.875331802169101,7.480617783894963,-0.0990976756119919,0.3414285716562496,0.428448390059258
5.503642529447804,3.043907775429975,7.182698710994892,-1.1635505188552426,0.6315605856598256,0.7987032810192201
5.938585486550189,2.8807358260005937,6.488365101754242,-0.024272596739825625,0.8231654125771757,0.33861547727036506
